<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.07.02	1918.552	1919.584	1917.464	1918.169	3360	0	200
2023.07.03	1918.164	1930.631	1910.003	1921.181	79028	0	200
2023.07.04	1921.180	1930.645	1920.024	1926.176	55072	0	200
2023.07.05	1926.247	1934.767	1914.765	1916.772	87089	0	200
2023.07.06	1916.784	1927.548	1902.568	1911.516	102468	0	200
2023.07.07	1911.543	1934.845	1909.625	1925.339	93343	0	200
2023.07.09	1925.288	1928.140	1923.842	1924.848	4469	0	200
2023.07.10	1924.858	1926.880	1912.299	1924.821	82799	0	200
2023.07.11	1924.822	1938.404	1924.406	1933.240	81692	0	200
2023.07.12	1933.244	1959.618	1933.171	1957.713	94138	0	200
2023.07.13	1957.714	1963.302	1952.294	1960.134	92711	0	200
2023.07.14	1960.124	1963.671	1950.661	1955.223	90984	0	200
2023.07.16	1954.975	1954.975	1951.354	1953.281	4160	0	200
2023.07.17	1953.281	1959.801	1945.553	1955.398	81278	0	200
2023.07.18	1955.396	1984.251	1954.677	1977.481	102236	0	200
2023.07.19	1977.464	1980.859	1969.692	1977.683	83620	0	200
2023.07.20	1977.661	1987.421	1965.320	1972.197	90602	0	200
2023.07.21	1972.227	1973.735	1956.605	1961.851	82263	0	200
2023.07.23	1962.228	1962.882	1960.351	1961.177	2975	0	200
2023.07.24	1961.172	1967.805	1953.174	1954.393	85839	0	200
2023.07.25	1954.394	1966.242	1951.787	1965.284	82939	0	200
2023.07.26	1965.283	1978.243	1962.002	1972.009	94552	0	200
2023.07.27	1972.012	1982.133	1942.018	1947.443	107110	0	200
2023.07.28	1947.411	1963.460	1946.054	1959.184	106930	0	200
2023.07.30	1959.875	1960.470	1957.373	1958.063	3961	0	200
2023.07.31	1958.054	1972.326	1950.718	1963.907	82326	0	200
2023.08.01	1963.876	1964.628	1941.209	1952.146	91690	0	200
2023.08.02	1952.140	1954.752	1932.864	1936.000	90772	0	200
2023.08.03	1936.025	1938.822	1929.496	1935.774	92179	0	200
2023.08.04	1935.747	1946.752	1925.221	1942.483	88436	0	200
2023.08.06	1942.560	1946.648	1942.415	1943.790	4378	0	200
2023.08.07	1943.785	1945.267	1931.462	1936.732	71962	0	200
2023.08.08	1936.763	1937.305	1922.508	1925.569	80953	0	200
2023.08.09	1925.574	1932.204	1913.983	1916.688	74596	0	200
2023.08.10	1916.688	1929.839	1910.698	1912.358	98653	0	200
2023.08.11	1912.358	1920.882	1911.858	1913.786	72543	0	200
2023.08.13	1913.666	1915.181	1912.395	1913.620	3311	0	200
2023.08.14	1913.620	1916.156	1902.465	1907.557	77664	0	200
2023.08.15	1907.567	1911.563	1896.208	1901.419	89209	0	200
2023.08.16	1901.412	1907.146	1891.670	1893.295	78591	0	200
2023.08.17	1893.298	1903.413	1884.996	1891.227	81651	0	200
2023.08.18	1891.231	1896.549	1886.724	1889.529	71924	0	200
2023.08.20	1889.357	1890.823	1888.800	1889.919	3175	0	200
2023.08.21	1889.934	1898.500	1884.547	1894.664	79698	0	200
2023.08.22	1894.674	1904.410	1888.824	1898.478	73980	0	200
2023.08.23	1898.476	1920.292	1898.432	1917.849	82472	0	200
2023.08.24	1917.849	1923.056	1911.554	1915.847	75282	0	200
2023.08.25	1915.845	1922.118	1903.450	1914.321	80411	0	200
2023.08.27	1915.974	1916.068	1914.322	1915.028	3309	0	200
2023.08.28	1915.029	1925.991	1912.694	1921.186	63466	0	200
